ARTIST,ALBUM,LABEL,NOTES
fields lay fallow,"one hundred years of high rises...",lunchbox,""
floodgate,"troubles a' brewin",ebullition,""
foreign objects,no sensation,vinyl rites,includes screen printed poster
funeral diner,difference of potential,ape must not kill ape,""
funkadelic,cosmic slop,westbound,""
funkadelic,one nation under a groove,warner bros,""
gameface,good,network sound,""
george michael,faith,columbia,""
ghastly city sleep,ghastly city sleep,robotic empire,green(?)
"gil scott-heron",the revolution will not be televised,flying dutchman,""
glissandro 70,glissandro 70,constellation,""
"go!","existence",epistrophy,""
"go-go's",beauty and the beat,irs,""
"godspeed you black emperor!","f# a# infinity",constellation,""
"godspeed you black emperor!",lift your skinny fists like antennas to heaven,constellation,2xlp
"godspeed you black emperor!",slow riot for new zero kanada,constellation,""
"godspeed you! black emperor",yanqui u.x.o.,constellation,2xlp
"godspeed you! black emperor",‘allelujah! don’t bend! ascend!,constellation,""
"godspeed you! black emperor","asunder, sweet and other distress",constellation,""
"godspeed you! black emperor",luciferian towers,constellation,""
"godspeed you! black emperor","g_d's pee at state's end",constellation,"includes 10inch"
"gordon gano’s army",self titled,art of the underground,""
gorilla biscuits,start today,revelation,"repress, red"
grateful dead,american beauty,warner bros,""
grateful dead,from the mars hotel,grateful dead,""
grateful dead,"workingman's dead",warner bros,""
grateful dead,wake of the flood,grateful ded records,""
green day,kerplunk,reprise,"2008 repress"
green day,dookie,reprise,"2008 repress"
griver,griver,point the blame,""
griver,griver,point the blame,"different cover, glued drawing"
groundwork,today we will not be invisible nor silent,"protagonist/king of the monsters",clear
half past two,”camp slushtone/mastering karate”,slushtone records,”two eps”
half past two,half past two,"ajax/jump up/ska punk daily/pay attention!",blue
hall and oates,"rock 'n soul part 1",rca,""
hall and oates,"everything your heart desires",arista,"12in single"
hall and oates,"oh yeah!",arista,""
hankshaw,"every day i wish you harm",doghouse,"stamped with hankshaw contact info"
heavens to betsy,calculated,kill rock stars,""
herida profunda,power to the people,"7Degrees/783punx/wise grinds/to live a lie",""
hirs,first 100 songs,sra,transparent green
hirs,second 100 songs,sra,white
hirs,friends lovers favorites,"sra/get better","first press, pink"
his hero is gone,fifteen counts of arson,prank,""
hot cross,fair trades and farewells,"level-plane","second press. blue/white swirl (??/300)"
hot water music,caution,"no idea!",""
hot water music,forever and counting,doghouse,""
hot water music,fuel for the hate game,"no idea!","purple (12th press)"
hot water music,live at the hardback,"no idea!","orange/blue (2nd press)"
hot water music,till the wheels fall off,"no idea!","pre-order version(?), screened cover, came with no liner notes or tracklisting. clear orange, (202/525)"
houkago grind time,"2: the second raid","grindfather/outrageous weeb power/to live a lie",clear yellow
i hate myself,four songs,"no idea!","6th press (??/550)"
i hate myself,ten songs,"no idea!",""
i hate myself,three songs,"no idea!","purple?"
ignite,past our means,revelation,black
"index for potential suicide",the newest youth rebellion,insolito,"german press"
iscariote,necrepole trauma,last day of june,""
j dilla,donuts,stones throw,"reissue/smile cover"
jeff rosenstock,no dream,polyvinyl,seaform
jeff rosenstock,ska dream,polyvinyl,"white"
jeff rosenstock,"post-",polyvinyl,"cloudy/clear with light blue splatter"
jenny hval,blood bitch,sacred bones,"clear, ?/1000"
jessica moss,entanglement,constellation,""
jessica moss,pools of light,constellation,""
john coltrane,a love supreme,impulse,repress
john coltrane,lush life,wax time,""
joshua fit for battle,bring out your dead,electric human project,"(??/400)"
joshua fit for battle,to bring our own end,shock value,"gold (??/100)"
joyce manor,joyce manor,"asian-man records","5th pressing/black"
joyce manor,"of all things i will soon grow tired","asian-man records","blue marble"
joyce manor,never hungover again,epitaph,""
joystick,"i can't take it anymore",bad time,""
julia,julia,"ebullition/rivers end",""
jungle brothers,straight out the jungle,warlock,""
"kid 'n play",2 hype,select records,""
kill lincoln,"can't complain",bad time,"yellow/red/blue"
kool moe dee,kool moe dee,jive,""
kraftwerk,computer world,warner bros,""
kylesa,to walk a middle course,havoc,""
la quiete,"la fine non è la fine",gasping for breath,"first press, (??/500)"
lamps,lamps,the red,""
last words,last words,to live a lie,split grey
les georges leningrad,"deux hot dogs moutarde chou.","les records co-co-cognac",translucent red
lifetime,"jersey's best dancers",jade tree,""
limp wrist,18 songs,la vida es un mus,""
limp wrist,buried,"waiting/lengua armada",""
lincoln,repair and reward,temporary residence,"clear/smoke"
litany for the whale,dolores,"perpetual motion machine/molsook",white
ll cool j,radio,def jam,""
look back and laugh,look back and laugh,look back and laugh records,"repress, clear red"
"los campesinos!","hold on now, youngster...",witchita,"2xlp, black/orange"
"los campesinos!",romance is boring,"arts & crafts",""
"los campesinos!","we are beautiful, we are doomed",wichita,""
los crudos,doble lp disografía,la vida es un mus,""
"love like...electrocution",st,slave union,"first press, white silkscreen"
lumber,lumber,rivers end,""
lungbutter,honey,constellation,""
lust for youth,compassion,sacred bones,""
madeline,the slow bang,valiant death,""
"man or astroman?",love transmissions from uranus,homo habilis,""
"man or astroman?",experiment zero,touch and go,repress
"man or astroman?","is it... man or astro-Man?",estrus,""
"mara'akate","mara'akate",alone,"2nd press (?)"
matty pop chart,good old water,"vinyl step child/cupid is stupid",screened cover
meneguar,i was born at night,troubleman unlimited,""
meneguar,strangers in our house,troubleman unlimited,""
mf doom meets czarface,metalface,silver age,""
"mikey erg","tentative decisions","don giovanni",""
miles davis,"'round about midnight",jazz images,""
miles davis,volume 2,blue note,"repress. the 'vol 2' that has blakey, silver, etc"
milt jackson,"the art of milt jackson: the atlantic years",atlantic,""
mindset,leave no doubt,"react!",""
mono,"walking cloud and deep read sky, flag fluttered and the sun shined","human highway/temporary residence",""
mono,you are there,"human highway/temporary residence",""
"mono & world's end girlfriend","palmless prayer/mass murder refrain","human highway/temporary residence","clear/smoke"
morrissey,maladjusted,mercury,""
moss icon,lybernum wits end liberation fly,temporary residence,clear
mount eerie,dances with wolves,"p.w.elverum & suns","white, ?/600"
mount eerie,"no flashlight","p.w.elverum & suns",white
mount eerie,eleven old songs of mount eerie,"p.w.elverum & suns",""
mount eerie,singles,"p.w.elverum & suns",white
mount eerie,"wind's poem","p.w.elverum & suns",clear
mu330,crab ragoon,asian man,"third press (2022), blue/red (?/500)"
my bloody valentine,"isn't anything","16-95","probably a bootleg"
my heart to joy,seasons in verse,top shelf records,""
my lai,"learn...forget...re-learn",static station,""
new edition,new edition,mca,""
new order,"low-life",qwest,""
new order,true faith,qwest,club single
night witch,"who’s next?",self released,one sided lp
nirvana,bleach,sub pop,2011 repress
no comply,east coast powerviolence,"625/to live a lie","blood splattered concrete"
noworries,noworries,forever never ends,""
nymb,novembre,static station,""
on the might of princes,where you are and where you want to be,"traffic violation/creep",""
operation ivy,energy,hellcat,"2010 repress"
orchid,chaos is me,ebullition,""
orchid,orchid,ebullition,"black, first press"
"ordination of aaron","immersion in a 90 mph world",council,first press
ornette coleman,free jazz,ermitage,"repress"
out of control army,from mexico to the world,jump up,white
"p.s. eliot",introverted romance in our troubled minds,salinas,clear orange marble
palatka,the end of irony,"no idea!","purple/red marble"
parliament,"funkentelechy vs the placebo syndrome",casablanca,""
pedro the lion,winners never quit,jade tree,""
"peeple watchin'","somethin' ta tell ya",nervous nelly,""
"pete rock and c.l. smooth",mecca and the soul brother,elektra,""
peter gabriel,so,geffen,""
peter gabriel,"third (melt)",mercury,""
peter gabriel,"peter gabriel (scratch)",atlantic,""
"pg.99","document #7",magic bullet,"4th press, black"
"pg.99","document #8","robotic empire/electric human project",""
"pg.99",singles,robotic empire,"first press, black"
phoenix bodies,raise the bullshit flag,slave union,""
piss test,piss test,dirt cult,""
planet on a chain,boxed in,revelation,cobalt blue
please inform the captain this is a hijack,defeat or humiliate the united states of america,clean plate,""
pleasure leftists,pleasure leftists,deranged,repress
prefuse 73,surrounded by silence,warp,""
prince paul,psychoanalysis,tommy boy,""
public enemy,"yo! bum rush the show",def jam,""
public enemy,it takes a nation of millions,def jam,""
puerto rico flowers,7,fan death,""
punch,punch,"discos huelga/625thrash",clear
punch,push pull,assault,"marble/white clear, european repress, gatefold"
punch,"they don’t have to believe",deathwish,clear yellow
q and not u,no kill no beep beep,dischord,""
quicksand,manic compression,revelation,promotional copy
raein,"sulla linea d’orizzonte tra questa mia vita e quella di tutti",self released,"(?/500)"
rage against the machine,rage against the machine,"epic/legacy","2012 repress, 20th anniversary remaster"
railsplitter,860 some odd lbs,dead tank/city of hell,"first press, marble. (??/100)"
rainer maria,look now look again,polyvinyl,""
randy newman,sail away,reprise,""
rebecca foon,waxing moon,contellation,""
reversal of man,this is medicine,ebullition,""
reversal of man,"nothing more, nothing less",repeater,"first press, red/black/yellow"
ringo deathstarr,ringo deathstarr,"reverberation appreciation society/real cool trash",heavenly swirl
ruhaeda,ruhaeda,"level-plane and 5 other labels","(?/1000)"
sage francis,personal journals,anticon,2xlp
scholastic deth,"bookstore core 2000-2002",625,red
"seein' red","past, present, (in)tense",autoreverse,clear red
shitstorm,paranoid existence,vinyl rites,"test pressing (72/100)"
shoppers,silver year,"drugged conscience/feebles minds",""
siamese twins,still corner,eunuch,""
sidetracked,hollowed out,to live a lie,white
"sinking steps...rising eyes",majestic blue,"discern direction/init","2xlp, black (??/400)"
"skankin' pickle","sing along with...",asian man,"repress, clear green"
skitsystem,stigmata,havoc,""
skitystem,"enkel resa till rännstenen",havoc,""
skitsystem,"gra varld/varta tankar",havoc,""
slant,”1집”,iron lung,””
slight slappers,"ashita hi wa mata nobori masuka?","h.g.fact/625",""
slingshot dakota,their dreams are dead but ours are the golden ghost,my parents records,"clear red, nonkickstarter version"
slowdive,hide yer eyes,alti philosophi,"blue, bootleg"
sneeze,fin,"midnight werewolf/tor johnson",""
"society of friends aka quakers",growing up and moving away,625,""
sonic youth,confusion is sex,"org/universal music special markets","2010 reissue, black"
sonic youth,daydream nation,geffen,2014 repress
sonic youth,goo,geffen,""
sonic youth,"syr9: simon werner a disparu",syr,""
sonic youth,sister,"goofin'",""
sonic youth,sonic youth,"goofin’","rerelease with live set"
sonic youth,the eternal,matador,""
southside johnny and the asbury jukes,hearts of stone,cbs,""
"sparrows, swarmandsing","untitled #2",gatehouse anchor,"first press, 230/550, (??/100, clear)"
spazz,dwarf jester rising,625,"blue/green marble"
spazz,crush kill destroy,625,neon yellow repress
spazz,"sweatin' to the oldies",tank crimes,clear
spazz,la revancha,625,"black/green swirl"
speed plans,statues of god,iron lung,""
steve martin,"a wild and crazy guy",warner bros,""
stockholm syndrome,death wish,"625/yofc","red, (?/215)"
"struggle.","struggle.",ebullition,""
"stop it!!",self made maps,perpetual motion machine,""
submission hold,"sackcloth and ashes, the ostrich dies on monday",ebullition,""
submission hold,"waiting for the monkey to throw the first brick.",ebullition,""
suffering mind,waste farm,"625/crucificados",""
suffering mind,lifeless,"to live a lie/pscyhocontrol",insomnia color
super unison,stella,deathwish,"purple, ?/1000. indie store color"
super unison,auto,deathwish,"pink, ?/1000. indie store color"
suppression with bastard noise,infernal legions,anthems of the undesirable,"black, ?/100"
swarvy,"anti-anxiety",fat beats,""
swing kids,anthology,31g,"2022 repress, suicide prevention awareness version (purple/blue)"
takako minekawa,cloudy cloud calculator,emperor norton,""
"tej leo(?), Rx / pharmacists",st,gern blandsten,""
terminal youth,terminal youth,"to live a lie/derok/give praise",""
the album leaf,"one day i'll be on time",tiger style,2xlp
the beach boys,endless summer,"capital/emi",""
the beach boys,"surf's up","brother/reprise",""
the best of the worst,better medicine,bad time,neon pink
the body,"i have fought against it, but i can’t any longer.",thrill jockey,""
the body,"i shall die here",rvng,""
the body,remixes,thrill jockey,"white/grey marble"
the body,"i've seen all i need to see",thrill jockey,"grey/silver transulucent"
the body and thou,"released from love/you, whom i have always hated",thrill jockey,"2xlp of both collab lps"
the bruce lee band,"one step forward, two steps back.",asian man,"half blue/half orange (?/600)"
the bruce lee band,"rental!! eviction!!/community support group",asian man,"first press, random colors (?/800)"
the chinkees,"...are coming!",asian man,"2023 press, purple/orange"
the chinkees,peace through music,asian man,"2023 press, orange/white"
the chinkees,searching for a brighter future,asian man,"2023 press, blue/gold"
the dave brubeck quartet,time out,columbia,""
the death of anna karina,the death of anna karina,slave union,"red/black swirl (??/100)"
the end of the century party,"isn't it perfectly fucking delightful to be so goddamn certain",belladonna,""
"the (english) beat","what is...",irs,""
the faint,blank-wave arcade,"saddle-creek",""
the faint,"mote/dust",gsl,""
the get up kids,four minute mile,doghouse,""
the get up kids,something to right home about,"vagrant/heroes & villans",""
the horace siver quintet,"doin' the thing... at the village gate",blue note,""
the kossabone red,the kossabone red,concurrent,""
the kreutzer sonata,the gutters of paradise,"no time/don't panic/collision course",""
the make up,afterdark,dischord,""
the microphones,live in japan,k records,""
the microphones,"the glow, pt. 2",k records,""
the microphones,"the microphones in 2020","p.w.elverum & suns",""
the microphones,song islands,"p.w.elverum & suns",""
the mighty mighty bosstones,"more noise & other disturbances","taang!",""
the one am radio,a name writ in water,"level-plane","first press, (??/500)"
the one am radio,on the shore of the wild world,"level-plane","first press, blue/white streaked (??/300)"
the one am radio,"the hum of the electric air!",electric human project,black
the one am radio,this too will pass,dangerbird,2xlp
the pine,"don't need regret",alone,"black, (??/800)"
the promise ring,30 degrees everywhere,jade tree,""
the promise ring,very emergency,jade tree,""
"the sea, the sea","the sea, the sea",neon boombox,"regular version, (??/300)"
the selector,too much pressure,chrysalis,"1980 us pressing"
the selector,celebrate the bullet,chrysalis,"1981 us pressing"
"the silver mt. zion memorial orchestra & tra-la-la band with choir","'this is our punk rock,' thee rusted satellites gather + sing",constellation,2xlp
the smiths,meat is murder,"sire/rough trade",""
the south,"chomp! chomp! chomp!",dead tank,"first press, (10/326)"
the specials,the specials,"two tone/chrysalis",2014 repress
the specials,more specials,"two tone/chrysalis","40th anniversary, half speed mastered. bonus 7"
the state secedes,the state secedes,"level-plane",""
"thee silver mt. zion memorial orchestra",horses in the sky,constellation,"2xlp, etched d-side"
"thee silver mt. zion memorial orchestra","fuck off we get free we pour light on everything",constellation,""
"thee silver mt. zion memorial orchestra & tra-la-la band",13 blues for thirteen moons,constellation,""
themselves,"'the joyful toy of 1001 faces'",anticon,""
thelonious monk,solo monk,columbia,""
thelonious monk,brilliant corners, jazz images,repress
thelonious monk,brilliance,milestone,"2xlp comp of brilliant corners and five by monk by five"
thin lizzy,bad reputaton,phonogram,""
thou,"baton rouge, you have much to answer for",robotic empire,""
thou,"the sacrifice","robotic empire",""
thou,"ceremonies of humiliation","bloated veins","3xlp"
thou,"ceremonies of repetition",gilead media,"2xlp"
thou,heathen,vendetta,""
thou,magus,"sacred bones",""
thou,peasant,robotic empire,"2017 repress, 2x12 includes singles 'to carry a stone' and 'malfeasance/retribution'"
thou,rhea sylvia,deathwish,""
thou,"summit/the archer and the owl","gilead media/howling mine","2xlp repress with Summit lp plus the archer and the owl ep"
thou and emma ruth rundle,"may our chambers be full/the helm of sorrow",sacred bones,""
thoughts of ionesco,a skin historic,makoto,""
thursday,waiting,collect,"15th anniverary release, includes 7 inch of demo material"
thursday,full collapse,victory,green
tom petty and the heartbreakers,damn the torpedos,mca,""
tom petty and the heartbreakers,long after dark,backstreet,""
tom tom club,tom tom club,sire,""
toots & the maytals,reggae greats,mango,""
"tørsö",sono pronta a morire,sorry state,"repress, electric blue"
toru okada,toru okada,shock value,"seafoam, (??/300)"
toru okada,toru okada,shock value,"summer of love '05 edition, (?/50)"
tristeza,dream signals in full circles,tigerstyle,""
tristatekillingspree,some words on the subject of being alive,six weeks,""
turning point,"it's always darkest... before the dawn",revelation,"2023 repress, orange"
twelve hour turn,"perfect progress, perfect destruction","no idea!",grey
uke of spaces corners county,so far on the way,bring back the magic,""
ultramantis black,"self titled",relapse,"black, ??/1000"
uninhabitable,uninhabitable,"all we know/dead tank",""
united nations,the next four years,temporary residence,""
united nations,united nations,"temporary residence/collect","2015 reissue/white album cover, black vinyl, numbered"
universal order of armageddon,universal order of armageddon,gravity,""
universal order of armageddon,the switch is down,kill rock stars,""
vanilla,vanilla,genet,""
weak wrists,weak wrists,"ifb/halo of flies/dingleberry/rubiyat/suspended soul",""
"'weird al' yankovich","in 3-D","rock'n'roll/scotti brothers","pitman pressing"
"'weird al' yankovich","'weird al' yankovich","rock'n'roll/scotti brothers",""
welcome the plague year,welcome the plague year,electric human project,""
xiu xiu,a promise,jyrk,"2nd press, misprinted cover, (??/200)"
yaphet kotto,the killer was in the government sheets,ebullition,"screened cover, translucent green."
yaphet kotto,we bury our dead alive,ebullition,""
"you'll never get to heaven",images,yellow k,""
"you'll never get to heaven",wave your moonlight hat for the snowfall train,"séance centre","2nd press"
your pest band,old springfield,"brassneck/dead broke/snuffy smiles",""
zao,all else failed,steadfast,""
zegota,movement in the music,crimethinc,""
zulu,a new tomorrow,flatspot,"first press, purple (?/1000)"
